idProduct,Title,Seller_id,Description,Price,Currency,Created_Date,Quantity
1,Mini Watch 00001,4113,Mini Park Max River Green Sunset Green Park Oak Laptop Prime Watch Max Ultra Park Oak Watch Phone Sunset Mini,373.72,EUR,2015-01-15 13:42:20,484
2,Prime Camera 00002,3317,Table Keyboard Pine Chair Ultra Smart Ultra Sunset Bottle Watch Park Backpack Camera Mega Laptop Prime Pine Phone Eco Hill,276.82,EUR,2015-08-28 13:07:25,152
3,Eco Backpack 00003,4367,Table Central Pine Chair Smart Chair Oak Hill Pine Bottle Backpack Watch Hill Oak Oak Camera Watch Plus Table Eco,405.66,EUR,2025-12-07 13:01:15,149
4,Max Bottle 00004,3356,Pro Smart Plus Pro Smart Eco Phone Watch Green Chair Phone Camera Ultra Pine Plus Pro Prime River Plus Prime,983.87,EUR,2021-06-02 11:38:12,473
5,Plus Table 00005,9427,Mega Phone Camera Watch Cedar Mega Chair Mega Main Table Camera Keyboard Park Watch Super Pro Laptop Camera Super Laptop,724.57,EUR,2016-11-29 23:13:28,386
6,Ultra Camera 00006,6923,Park Camera Central Laptop Laptop Mini Watch Headphones Keyboard Smart Mega Main Mini Central Cedar Pine Mega Pro Pro Smart,421.87,EUR,2019-08-29 23:40:11,331
7,Pro Backpack 00007,5424,Cedar Green Laptop Max Max Sunset Pine Table Mini Laptop Ultra Pine Table Phone Pro Keyboard Pro Oak Headphones Green,831.56,EUR,2001-07-17 01:10:25,318
8,Max Table 00008,5529,Park Table River Eco Mega Headphones Pine Cedar Eco Pro Bottle Backpack Cedar Mini Main Watch Pro Ultra Oak Pine,302.74,EUR,2024-02-01 12:28:47,118
9,Smart Watch 00009,5851,Max Park Hill Plus Prime Hill Laptop Super Keyboard Mega Table Backpack Pine Chair Ultra Camera River Chair Sunset Ultra,189.86,EUR,2023-06-15 12:09:06,138
10,Ultra Phone 00010,5427,Mega Eco Backpack Eco Laptop Camera Eco Hill Phone Pro Plus Oak Laptop Watch Green Camera Park Park Eco Table,972.73,EUR,2003-10-29 01:18:23,173
11,Pro Bottle 00011,9681,Sunset Mega Keyboard Headphones Smart Hill River Central Prime Ultra Smart River Super Eco Phone Phone Sunset Hill Phone Ultra,238.13,EUR,2005-04-12 19:06:36,334
12,Mega Watch 00012,2967,Park River Watch Watch Laptop Chair Table Backpack River Max Sunset River Prime Mega Smart Cedar Max Pine Cedar Laptop,784.97,EUR,2012-01-10 02:26:24,13
13,Ultra Phone 00013,9385,Oak Camera Eco Keyboard Pro Sunset Ultra Mini Pine Main Chair Bottle Green Eco Super Green Sunset Table Cedar River,235.85,EUR,2008-04-20 19:37:27,53
